ID,Streamed,Start,End,Label,Location,Page
1,N,2010-02-24T10:30Z,2010-02-24T12:00Z,Registration and Coffee,basecamp,
2,Y,2010-02-26T14:00Z,2010-02-26T18:00Z,Image Processing and Augmentation,project,http://wiki.2010.dev8d.org/w/Project_Zone_Fri_PM
